nm,Abs1,Abs2,Abs5,Abs6,Abs7,Abs8
200,0.006,0.005,,,,
200.5,0.006,-0.007,,,,
201,0.004,-0.003,,,,
201.5,0.003,-0.001,,,,
202,-0.01,-0.01,,,,
202.5,0.012,0,,,,
203,0.016,0.009,,,,
203.5,0.019,-0.001,,,,
204,0.01,0,,,,
204.5,0.014,-0.01,,,,
205,0.005,0.012,,,,
205.5,-0.02,-0.016,,,,
206,-0.004,-0.007,,,,
206.5,0.004,-0.007,,,,
207,0.002,-0.003,,,,
207.5,0.016,0.011,,,,
208,0.008,-0.001,,,,
208.5,-0.018,-0.041,,,,
209,-0.012,-0.017,,,,
209.5,-0.029,-0.021,,,,
210,-0.022,-0.01,,,,
210.5,-0.018,0.002,,,,
211,-0.014,0.007,,,,
211.5,0,-0.011,,,,
212,-0.009,0.014,,,,
212.5,0.002,0.002,,,,
213,0.016,0.007,,,,
213.5,-0.005,0,,,,
214,0.005,0.016,,,,
214.5,-0.001,-0.003,,,,
215,0.001,0.017,,,,
215.5,0.012,0.025,,,,
216,-0.012,-0.008,,,,
216.5,-0.015,-0.017,,,,
217,-0.007,-0.001,,,,
217.5,0.001,0.005,,,,
218,-0.004,-0.012,,,,
218.5,-0.006,0.003,,,,
219,0,-0.005,,,,
219.5,0.002,-0.003,,,,
220,0.001,-0.007,,,,
220.5,0.012,0.014,,,,
221,-0.006,-0.004,,,,
221.5,0.006,-0.004,,,,
222,0.005,0.009,,,,
222.5,-0.025,-0.019,,,,
223,-0.003,-0.006,,,,
223.5,-0.006,-0.005,,,,
224,0.003,-0.012,,,,
224.5,0.019,0.019,,,,
225,-0.006,-0.008,,,,
225.5,0.014,0.016,,,,
226,0.019,-0.003,,,,
226.5,0.018,0.023,,,,
227,0.023,0.027,,,,
227.5,0.002,0.006,,,,
228,0.005,0.004,,,,
228.5,0.01,0.023,,,,
229,-0.015,0.008,,,,
229.5,0.01,0.001,,,,
230,0.007,0.012,,,,
230.5,-0.009,-0.009,,,,
231,-0.002,0.02,,,,
231.5,0.007,0.015,,,,
232,0.005,0.011,,,,
232.5,0.021,0.01,,,,
233,0.024,0.024,,,,
233.5,0.003,0.015,,,,
234,0.005,0.012,,,,
234.5,0.003,0.01,,,,
235,-0.011,0.01,,,,
235.5,0.02,0.026,,,,
236,0.012,0.009,,,,
236.5,-0.015,-0.001,,,,
237,0.013,0.014,,,,
237.5,-0.013,-0.02,,,,
238,-0.003,0.005,,,,
238.5,-0.006,-0.014,,,,
239,0.004,0.01,,,,
239.5,-0.007,-0.02,,,,
240,0.02,0.007,,,,
240.5,-0.016,-0.025,,,,
241,0.018,0.004,,,,
241.5,0.006,-0.005,,,,
242,-0.017,-0.022,,,,
242.5,0.01,0.023,,,,
243,-0.013,-0.004,,,,
243.5,-0.019,-0.003,,,,
244,0.014,0.001,,,,
244.5,0.033,-0.003,,,,
245,0.024,0.001,,,,
245.5,0.068,0.014,,,,
246,0.056,0.021,,,,
246.5,0.059,0.033,,,,
247,0.08,0.046,,,,
247.5,0.105,0.051,,,,
248,0.103,0.057,,,,
248.5,0.088,0.06,,,,
249,0.112,0.064,,,,
249.5,0.108,0.067,,,,
250,0.095,0.057,,,,
250.5,0.078,0.05,,,,
251,0.057,0.035,,,,
251.5,0.063,0.04,,,,
252,0.021,0.004,,,,
252.5,0.033,0.022,,,,
253,0.038,0.013,,,,
253.5,0.025,0.017,,,,
254,0.05,0.024,,,,
254.5,-0.005,-0.008,,,,
255,0.009,-0.016,,,,
255.5,0.016,0.005,,,,
256,0.029,0.037,,,,
256.5,0.001,0.004,,,,
257,-0.002,-0.021,,,,
257.5,0.009,-0.001,,,,
258,0.01,-0.003,,,,
258.5,0.006,-0.008,,,,
259,-0.001,0,,,,
259.5,0.003,0,,,,
260,0.016,0.002,,,,
260.5,-0.002,-0.007,,,,
261,-0.003,-0.001,,,,
261.5,-0.03,-0.021,,,,
262,0.007,-0.003,,,,
262.5,-0.02,-0.012,,,,
263,0.014,0.015,,,,
263.5,0.037,0.008,,,,
264,0.013,0.013,,,,
